Title,year,Rating,Run Time,imdb_rating,Budget,Gross_worldwide,Director,Metascore,Hour,hr_min,Min,RunTime_min
Avengers: Endgame,2019,PG-13,3h 1m,8,356000000,2797501328,Anthony Russo,78,3,180,1,181
1917,2019,R,1h 59m,8,95000000,384919389,Sam Mendes,78,1,60,59,119
Snatch,2000,R,1h 42m,8,6000000,83557872,Guy Ritchie,55,1,60,42,102
Star Wars: Episode V - The Empire Strikes Back,1980,PG,2h 4m,8,18000000,538375067,Irvin Kershner,82,2,120,4,124
Life Is Beautiful,1997,PG-13,1h 56m,8,20000000,230098753,Roberto Benigni,59,1,60,56,116
The Shawshank Redemption,1994,R,2h 22m,9,25000000,28884504,Frank Darabont,81,2,120,22,142
Gone Girl,2014,R,2h 29m,8,61000000,369330363,David Fincher,79,2,120,29,149
Once Upon a Time in the West,1968,PG-13,2h 45m,8,5000000,5434825,Sergio Leone,80,2,120,45,165
Jurassic Park,1993,PG-13,2h 7m,8,63000000,1099428303,Steven Spielberg,68,2,120,7,127
Star Wars,1977,PG,2h 1m,8,11000000,775398007,George Lucas,90,2,120,1,121
Beauty and the Beast,1991,G,1h 24m,8,25000000,424967620,Gary Trousdale,95,1,60,24,84
Ran,1985,R,2h 42m,8,11500000,4164283,Akira Kurosawa,96,2,120,42,162
Stand by Me,1986,R,1h 29m,8,8000000,52287414,Rob Reiner,75,1,60,29,89
The Hunt,2012,R,1h 55m,8,3800000,15843274,Thomas Vinterberg,77,1,60,55,115
Modern Times,1936,G,1h 27m,8,1500000,461455,Charles Chaplin,96,1,60,27,87
Singin' in the Rain,1952,G,1h 43m,8,2540800,1923485,Stanley Donen,99,1,60,43,103
For a Few Dollars More,1965,R,2h 12m,8,600000,15000000,Sergio Leone,74,2,120,12,132
Spider-Man: No Way Home,2021,PG-13,2h 28m,8,200000000,1892667830,Jon Watts,71,2,120,28,148
Reservoir Dogs,1992,R,1h 39m,8,1200000,2913644,Quentin Tarantino,79,1,60,39,99
Ben-Hur,1959,G,3h 32m,8,15000000,74437720,William Wyler,90,3,180,32,212
The Lord of the Rings: The Two Towers,2002,PG-13,2h 59m,8,94000000,947896241,Peter Jackson,87,2,120,59,179
Toy Story,1995,G,1h 21m,8,30000000,394436586,John Lasseter,95,1,60,21,81
The Handmaiden,2016,Not Rated,2h 25m,8,10000000000,37767206,Park Chan-wook,84,2,120,25,145
Dial M for Murder,1954,PG,1h 45m,8,1400000,31207,Alfred Hitchcock,75,1,60,45,105
3 Idiots,2009,PG-13,2h 50m,8,550000000,60262836,Rajkumar Hirani,67,2,120,50,170
12 Years a Slave,2013,R,2h 14m,8,20000000,187733202,Steve McQueen,96,2,120,14,134
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58m,8,93000000,898094742,Peter Jackson,92,2,120,58,178
Hotel Rwanda,2004,PG-13,2h 1m,8,17500000,33882243,Terry George,79,2,120,1,121
Dances with Wolves,1990,PG-13,3h 1m,8,22000000,424208848,Kevin Costner,72,3,180,1,181
The Exorcist,1973,R,2h 2m,8,11000000,441306145,William Friedkin,81,2,120,2,122
The Dark Knight Rises,2012,PG-13,2h 44m,8,250000000,1081153097,Christopher Nolan,78,2,120,44,164
Howl's Moving Castle,2004,PG,1h 59m,8,24000000,236323601,Hayao Miyazaki,80,1,60,59,119
Die Hard,1988,R,2h 12m,8,28000000,141603197,John McTiernan,72,2,120,12,132
The Thing,1982,R,1h 49m,8,15000000,19632053,John Carpenter,57,1,60,49,109
Some Like It Hot,1959,Passed,2h 1m,8,2883848,195088,Billy Wilder,98,2,120,1,121
Pulp Fiction,1994,R,2h 34m,8,8000000,213928762,Quentin Tarantino,94,2,120,34,154
Apocalypse Now,1979,R,2h 27m,8,31500000,92158064,Francis Ford Coppola,94,2,120,27,147
The Incredibles,2004,PG,1h 55m,8,92000000,631607053,Brad Bird,90,1,60,55,115
Network,1976,R,2h 1m,8,3800000,23690757,Sidney Lumet,83,2,120,1,121
